name,pos,min,gm,g,a,cy,sh,sot,sotp,gps,fl,fld,crs,intc,tkw
Gabriel Poveda,FW,160,11,0,0,0,2,1,50.0,0.00,4,4,1,1,2
Fernando Pradella,FW,14,1,0,0,0,0,0,,,0,0,0,0,0
Kauã Prates,DF,8,1,0,0,0,0,0,,,0,0,1,0,0
Ángelo Preciado,MFDF,459,8,0,0,2,4,0,0.0,0.00,10,12,12,7,5
Erick Pulga,FWMF,1489,21,0,1,3,22,7,31.8,0.00,23,45,42,8,12
Erick Pulgar,MF,864,11,1,0,5,8,2,25.0,0.13,17,9,3,10,13
Igor Rabello,DF,29,1,0,0,0,1,0,0.0,0.00,0,0,0,1,1
Zé Rafael,MF,165,5,1,1,1,5,1,20.0,0.20,5,5,1,0,3
André Ramalho,DF,556,7,0,0,4,3,0,0.0,0.00,5,9,2,9,3
Eric Ramires,MF,492,13,0,0,1,2,0,0.0,0.00,9,5,1,8,7
Kevin Ramírez,MF,128,3,0,0,0,1,1,100.0,0.00,0,2,1,0,0
Ramon,DF,1555,18,2,0,3,10,4,40.0,0.20,26,13,76,18,21
Lucas Ramon,DF,1145,14,0,1,1,7,3,42.9,0.00,10,22,49,19,17
Vitor Ramon,DF,32,1,0,0,1,0,0,,,1,0,0,0,0
Chris Ramos,FWMF,20,3,0,0,1,3,0,0.0,0.00,2,0,0,0,1
Santi Ramos Mingo,DF,1665,19,0,0,3,9,5,55.6,0.00,15,12,1,25,6
Marcelo Rangel,GK,1800,20,0,0,1,0,0,,,0,4,0,1,1
Pedro Rangel,GK,1475,17,0,0,1,0,0,,,0,4,0,1,3
Raniele,MFDF,1391,18,1,0,5,15,2,13.3,0.07,29,29,5,35,24
Pedro Raul,FW,167,8,0,0,1,3,0,0.0,0.00,5,4,0,0,0
Raykkonen,FW,1,1,0,0,0,0,0,,,0,1,0,0,0
Reinaldo,DFMF,1416,17,0,3,5,21,2,9.5,0.00,11,11,134,9,12
Reinier,FW,627,15,1,1,1,17,9,52.9,0.06,8,8,0,1,0
Renan,FW,99,8,0,0,0,3,0,0.0,0.00,4,5,0,0,1
Robert Renan,DF,1800,20,1,0,1,7,2,28.6,0.14,21,5,8,30,16
Renê,DF,1087,14,0,2,1,9,3,33.3,0.00,9,11,18,17,22
Murilo Rhikman,MF,3,1,0,0,0,0,0,,,0,1,0,0,1
Everton Ribeiro,MF,1031,17,0,4,1,17,4,23.5,0.00,12,27,73,13,15
Zé Ricardo,MF,1100,19,0,1,4,12,5,41.7,0.00,30,22,16,17,16
Riccieli,DF,90,2,0,0,0,1,0,0.0,0.00,1,0,0,3,1
Charles Rigon Matos,MF,193,4,0,0,0,0,0,,,5,1,1,2,4
Tomás Rincón,MF,21,2,0,0,1,0,0,,,3,1,1,0,0
Ramon Rique,MF,87,3,0,1,0,2,1,50.0,0.00,2,0,1,0,2
Riquelme,MF,42,3,0,0,1,0,0,,,3,2,5,0,2
Diogo Riquelme,MF,66,4,0,0,1,1,1,100.0,0.00,3,0,1,1,1
Jorge Rivaldo,FW,9,1,0,0,0,0,0,,,1,0,0,0,0
Paulo Roberto,FW,34,2,1,0,1,1,1,100.0,1.00,1,0,0,0,2
Marcos Rocha,MFDF,154,5,0,0,0,1,0,0.0,0.00,1,1,3,2,0
Pedro Rocha Neves,FW,1561,20,4,1,1,38,15,39.5,0.11,19,23,2,5,3
Sergio Rochet,GK,990,11,0,0,1,0,0,,,0,1,0,0,1
Rodrigo,MF,497,11,2,0,3,12,3,25.0,0.17,14,6,26,2,8
Rodrigues,DF,50,2,0,0,0,0,0,,,0,1,1,1,1
Rodrigo Rodrigues,FW,26,1,0,0,0,0,0,,,3,0,0,0,0
Alan Rodríguez,MF,231,7,0,0,0,3,0,0.0,0.00,5,2,3,1,2
Santiago Rodríguez,MFFW,538,13,0,0,1,1,0,0.0,0.00,13,19,18,1,9
Gabriel Rojas,DF,251,3,0,0,0,1,0,0.0,0.00,7,3,16,4,5
Johan Rojas,MFFW,839,17,0,1,2,34,9,26.5,0.00,14,3,40,2,7
Benjamín Rollheiser,MFFW,579,16,3,0,1,16,7,43.8,0.06,10,4,30,3,5
Iván Román,DF,440,6,1,0,3,3,1,33.3,0.33,12,2,1,7,5
Lucas Romero,MF,1004,14,1,3,3,10,6,60.0,0.10,16,16,2,15,19
Ronald,MF,140,7,0,0,1,4,0,0.0,0.00,5,1,3,0,1
Ronaldo,MF,336,8,1,0,1,6,1,16.7,0.17,10,3,1,1,11
